timestamp,reportingGroup,locationName,value,unit
2019-03-17T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.7700000000000002,kWh
2019-03-18T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.7600000000000002,kWh
2019-03-19T00:00:00,Electricity,1000 Hakaniemen kauppahalli,3.8399999999999994,kWh
2019-03-20T00:00:00,Electricity,1000 Hakaniemen kauppahalli,4.809999999999998,kWh
2019-03-21T00:00:00,Electricity,1000 Hakaniemen kauppahalli,15.6,kWh
2019-03-22T00:00:00,Electricity,1000 Hakaniemen kauppahalli,25.31000000000001,kWh
2019-03-23T00:00:00,Electricity,1000 Hakaniemen kauppahalli,13.979999999999997,kWh
2019-03-24T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.7300000000000001,kWh
2019-03-25T00:00:00,Electricity,1000 Hakaniemen kauppahalli,8.409999999999998,kWh
2019-03-26T00:00:00,Electricity,1000 Hakaniemen kauppahalli,33.42000000000001,kWh
2019-03-27T00:00:00,Electricity,1000 Hakaniemen kauppahalli,17.849999999999994,kWh
2019-03-28T00:00:00,Electricity,1000 Hakaniemen kauppahalli,18.729999999999997,kWh
2019-03-29T00:00:00,Electricity,1000 Hakaniemen kauppahalli,15.179999999999996,kWh
2019-03-30T00:00:00,Electricity,1000 Hakaniemen kauppahalli,27.77,kWh
2019-03-31T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.6900000000000002,kWh
2019-04-01T00:00:00,Electricity,1000 Hakaniemen kauppahalli,10.719999999999997,kWh
2019-04-02T00:00:00,Electricity,1000 Hakaniemen kauppahalli,10.709999999999997,kWh
2019-04-03T00:00:00,Electricity,1000 Hakaniemen kauppahalli,10.859999999999998,kWh
2019-04-04T00:00:00,Electricity,1000 Hakaniemen kauppahalli,33.220000000000006,kWh
2019-04-05T00:00:00,Electricity,1000 Hakaniemen kauppahalli,37.470000000000006,kWh
2019-04-06T00:00:00,Electricity,1000 Hakaniemen kauppahalli,83.5,kWh
2019-04-07T00:00:00,Electricity,1000 Hakaniemen kauppahalli,66.98000000000002,kWh
2019-04-08T00:00:00,Electricity,1000 Hakaniemen kauppahalli,14.169999999999996,kWh
2019-04-09T00:00:00,Electricity,1000 Hakaniemen kauppahalli,19.829999999999995,kWh
2019-04-10T00:00:00,Electricity,1000 Hakaniemen kauppahalli,42.949999999999996,kWh
2019-04-11T00:00:00,Electricity,1000 Hakaniemen kauppahalli,60.8,kWh
2019-04-12T00:00:00,Electricity,1000 Hakaniemen kauppahalli,56.619999999999976,kWh
2019-04-13T00:00:00,Electricity,1000 Hakaniemen kauppahalli,61.21999999999999,kWh
2019-04-14T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.7100000000000002,kWh
